x,y,z,yaw,velocity,change_flag
160.8226,1.6230,0.2158,3.1354,0,0
159.8133,1.6235,0.1468,3.1373,10.8629,0
158.6964,1.6283,0.1463,3.1372,15.6011,0
157.4730,1.6331,0.1216,3.1355,19.0256,0
156.3465,1.6406,0.0775,3.1350,20.3716,0
155.2140,1.6483,0.0718,3.1350,20.3092,0
154.0858,1.6556,0.0699,3.1349,20.2518,0
152.8437,1.6639,0.0665,3.1348,24.1918,0
151.7872,1.6712,0.0636,3.1348,26.1478,0
150.6626,1.6788,0.0617,3.1347,27.5575,0
149.4958,1.6868,0.0603,3.1347,28.3371,0
148.2994,1.6951,0.0589,3.1347,28.9997,0
147.0800,1.7036,0.0573,3.1346,29.4822,0
145.8405,1.7122,0.0549,3.1346,29.9624,0
144.5826,1.7210,0.0538,3.1346,30.3649,0
143.3076,1.7299,0.0524,3.1346,30.7649,0
142.0169,1.7389,0.0519,3.1346,31.1347,0
140.7226,1.7480,0.0523,3.1346,31.0252,0
139.4316,1.7570,0.0527,3.1346,30.9578,0
138.1439,1.7660,0.0529,3.1346,30.8706,0
136.8907,1.7748,0.0536,3.1346,28.9446,0
135.7406,1.7829,0.0546,3.1347,26.6451,0
134.6721,1.7902,0.0550,3.1348,24.9580,0
133.6636,1.7971,0.0549,3.1348,23.6391,0
132.3777,1.8058,0.0544,3.1349,22.6876,0
131.1279,1.8144,0.0539,3.1350,22.1753,0
129.9091,1.8226,0.0537,3.1351,21.6036,0
128.7154,1.8306,0.0535,3.1350,21.2396,0
127.5370,1.8385,0.0533,3.1350,21.0481,0
126.3443,1.8464,0.0529,3.1349,21.8852,0
125.0710,1.8550,0.0521,3.1348,23.6893,0
124.0649,1.8618,0.0520,3.1348,24.3050,0
123.0617,1.8687,0.0525,3.1348,23.9070,0
122.0594,1.8755,0.0528,3.1348,24.1857,0
121.0499,1.8824,0.0527,3.1347,24.9708,0
119.9429,1.8900,0.0516,3.1347,27.7416,0
118.7328,1.8984,0.0508,3.1346,30.0424,0
117.4308,1.9075,0.0506,3.1345,32.1481,0
116.0509,1.9189,0.0507,3.1336,33.8440,0
114.6090,1.9389,0.0507,3.1289,35.1832,0
113.1188,1.9760,0.0480,3.1184,36.2595,0
112.1028,2.0152,0.0458,3.1077,36.8854,0
111.0709,2.0694,0.0418,3.0942,37.4405,0
110.0246,2.1402,0.0394,3.0786,37.9486,0
108.9654,2.2281,0.0367,3.0624,38.4294,0
107.8948,2.3318,0.0349,3.0471,38.8889,0
106.8142,2.4497,0.0349,3.0338,39.2112,0
105.7335,2.5782,0.0354,3.0231,39.1534,0
104.6557,2.7144,0.0359,3.0151,39.0853,0
103.5802,2.8531,0.0364,3.0112,39.0159,0
102.5068,2.9934,0.0366,3.0100,38.9458,0
101.4355,3.1348,0.0368,3.0096,38.8760,0
100.3980,3.2724,0.0375,3.0096,36.8523,0
98.9477,3.4650,0.0387,3.0097,33.7487,0
97.6257,3.6404,0.0396,3.0098,30.6543,0
96.4274,3.7993,0.0398,3.0099,27.7591,0
95.3388,3.9435,0.0398,3.0100,25.2981,0
94.3414,4.0756,0.0394,3.0101,23.2770,0
93.1232,4.2367,0.0388,3.0102,21.1616,0
91.9916,4.3865,0.0381,3.0104,19.8281,0
90.9307,4.5207,0.0377,3.0138,18.5968,0
89.9207,4.6332,0.0371,3.0237,18.2444,0
88.9109,4.7136,0.0365,3.0463,18.0170,0
87.9025,4.7583,0.0365,3.0761,17.8818,0
86.8925,4.7814,0.0363,3.1007,18.2139,0
85.8842,4.8100,0.0363,3.1089,18.1815,0
84.8791,4.8428,0.0362,3.1088,18.2500,0
83.8597,4.8762,0.0361,3.1087,18.5761,0
82.8463,4.9097,0.0362,3.1090,18.2664,0
81.8161,4.9434,0.0361,3.1092,18.4392,0
80.7943,4.9767,0.0363,3.1092,18.2166,0
79.7733,5.0099,0.0362,3.1091,18.3453,0
78.7377,5.0437,0.0361,3.1091,18.7409,0
77.6613,5.0788,0.0357,3.1089,19.9040,0
76.4957,5.1169,0.0351,3.1088,21.7125,0
75.2308,5.1583,0.0348,3.1088,23.5241,0
74.2211,5.1915,0.0348,3.1087,24.4174,0
